Unnamed: 0_nan_nan_nan_nan,Mmus_C3H-HeJ_KDN_BSL_0days,Mmus_C3H-HeJ_KDN_FLT_25days,Mmus_C3H-HeJ_KDN_FLT_75days,Mmus_C3H-HeJ_KDN_GC_25days,Mmus_C3H-HeJ_KDN_GC_75days,Mmus_C3H-HeJ_KDN_VIV_25days,Mmus_C3H-HeJ_KDN_VIV_75days,Mmus_C57-6J_KDN_BSL_0days,Mmus_C57-6J_KDN_FLT_25days,Mmus_C57-6J_KDN_FLT_75days,Mmus_C57-6J_KDN_GC_25days,Mmus_C57-6J_KDN_GC_75days,Mmus_C57-6J_KDN_VIV_25days,Mmus_C57-6J_KDN_VIV_75days
ENSMUSG00000000385,7767.4126508713625,7416.699146140732,7856.642256797131,7255.98835261943,7638.864625949425,7283.319593796492,7931.533971867575,7875.645710937884,7159.601400800771,6655.000416373732,7424.683202392609,7008.407251566779,7376.063075938316,6858.927113536845
ENSMUSG00000000386,22.68092349275619,25.984377483509242,24.19379446379774,38.65637234588524,52.80869441149266,60.50351978037628,52.9185592544717,30.918493219834936,40.09241514182708,80.81803251889339,25.4278853418854,48.13646521962248,38.491910340285564,44.882403096593364
ENSMUSG00000000392,22.86777171418474,24.32964256922441,28.40479780083644,19.72007565193195,35.72360288679024,24.90059030513998,24.80135408909988,32.24560328327126,24.628311081846242,27.160500085878162,30.82124237061434,41.36463059821263,33.31884063911632,46.49173613197982
ENSMUSG00000000399,8007.367062227055,7389.40337275427,7360.164011919248,6848.99655163186,7779.934134533333,7206.262036734665,7833.810466483924,8335.936555611937,7638.77775749815,6503.810626034392,7626.413858367532,8117.703095931455,7416.839038200153,7253.226322661287
ENSMUSG00000000402,2307.7385244335956,2445.7606391648524,2034.7588915067481,2795.293499103778,2880.1390216501,2443.472852953634,2185.72563616744,2157.245365065609,2305.154193700484,2015.814432527003,2476.0261528110423,2312.652628761085,1647.471768238578,2404.92566585255
ENSMUSG00000000409,47.1234782392088,53.629170473335236,43.278831320340885,43.900378451963704,34.481966767299255,49.035812934303024,41.67404698951446,47.10377598672069,47.446336194158064,59.27895360205066,42.02613318731176,53.299322300913005,47.221669993838944,64.17802276868983
ENSMUSG00000000416,907.3677233248751,932.9896422644837,807.4658527501798,724.2768018605242,765.6940191609376,845.8914158765343,696.6721257866977,957.8601952265061,794.8809121718772,918.931259377973,730.7358784880854,723.173797380553,942.6246713887588,842.1086909747225
ENSMUSG00000000420,9539.102949792385,8694.965096781187,9275.962528840395,11363.858658169665,11690.989354823463,9769.259332865671,11066.005135394244,7797.289459960637,7601.964205664322,7637.739228817404,7514.995186263662,8201.97653043148,8028.606081131846,9153.9025726925
ENSMUSG00000000439,1537.6674699458154,1365.4921355269275,1556.4052633716449,1369.9138912261449,1274.0316223785835,1331.8694778825597,1215.0640854064143,1346.8376649022518,1225.4413644251083,1165.8017793062093,1319.7016327123633,1136.8119379475525,1267.777685556818,1215.1028321168228
ENSMUSG00000000440,294.6723194009372,242.91516206870136,289.4127201553136,371.8682318135624,281.6921899708974,312.01961438604565,337.09828318019584,132.15313358824665,199.58428179442004,198.24522902257183,144.81214328788047,151.71485407957417,224.3144451289048,139.44459053608824
ENSMUSG00000000441,3396.9331191874953,3088.3551055432717,3106.50343225397,2897.66996496066,3003.911559699176,3069.440867830272,3124.7837119671776,3535.16178229717,3158.0894177824603,3192.928387167458,3450.856356819454,3077.998701519885,3179.448007328916,3147.951261824782
ENSMUSG00000000486,65.10141727299828,62.8782291137195,64.37008963056924,50.02033874934422,45.98850834682891,56.025151650321014,52.0486711978161,100.28460141898388,57.78433862158666,62.23563656819442,107.07920683733744,77.19627345906925,67.44844291749942,69.42141934322778
ENSMUSG00000000489,461.49647340758634,590.5409286097466,630.1558229827186,578.0102841625508,371.81430099593365,654.4286796290916,462.4956503264304,627.72059313717,638.3049482084751,677.1424844813688,735.7886393545316,503.747824785363,676.9917228147094,711.8440734086955
ENSMUSG00000000530,824.5314037420932,845.6603134218096,824.6269405956548,771.867555225635,582.049268076843,855.1228976152572,729.0064160720426,946.7649217751937,745.3083461220219,884.316263628846,964.360898065171,645.895020929389,734.309326452172,814.6461291546245
ENSMUSG00000000531,108.96041100043561,118.09297749870473,118.47576258400622,99.07177598973392,64.51038106158327,124.55740802570119,100.41666871975329,155.796670292853,90.43174985013958,120.7070012443589,115.13262884806466,122.40872430730113,129.03713736817338,118.15697654511082
